<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MTLRP,D,20120123,000000,228.5000000,229.7900000,223.5000000,229.4000000,27010
MTLRP,D,20120124,000000,226.0100000,231.7000000,225.0000000,228.9300000,84350
MTLRP,D,20120125,000000,229.9800000,231.9500000,228.2900000,230.2900000,77000
MTLRP,D,20120126,000000,232.0000000,238.7000000,231.2600000,237.0100000,233750
MTLRP,D,20120127,000000,236.0000000,237.0000000,233.0000000,233.7400000,71110
MTLRP,D,20120130,000000,232.4300000,233.0000000,227.3200000,228.0000000,63150
MTLRP,D,20120131,000000,230.0000000,233.8400000,230.0000000,232.0000000,21170
MTLRP,D,20120201,000000,232.0000000,236.9900000,230.0300000,236.8100000,47830
MTLRP,D,20120202,000000,236.8100000,240.3300000,236.0300000,238.0000000,81060
MTLRP,D,20120203,000000,238.0500000,243.7400000,237.9900000,243.7400000,36060
MTLRP,D,20120206,000000,245.0000000,251.9900000,245.0000000,248.0000000,99250
MTLRP,D,20120207,000000,249.9900000,251.9900000,242.5000000,244.9000000,81550
MTLRP,D,20120208,000000,246.0000000,250.7500000,244.9700000,244.9700000,45760
MTLRP,D,20120209,000000,247.9900000,247.9900000,240.0000000,242.0000000,61770
MTLRP,D,20120210,000000,240.0100000,242.0000000,233.7200000,235.0000000,87430
MTLRP,D,20120213,000000,238.0000000,241.6900000,235.0000000,241.6700000,49490
MTLRP,D,20120214,000000,239.5100000,242.9100000,238.9000000,241.6900000,51430
MTLRP,D,20120215,000000,241.9900000,246.5000000,240.0400000,243.0000000,99180
MTLRP,D,20120216,000000,240.5200000,241.9800000,238.0000000,239.9900000,52020
MTLRP,D,20120217,000000,240.0000000,243.8000000,238.5000000,240.5000000,113260
MTLRP,D,20120220,000000,241.9700000,252.0000000,240.0000000,242.0000000,51560
MTLRP,D,20120221,000000,245.0000000,245.0000000,236.5000000,239.0000000,105930
MTLRP,D,20120222,000000,240.0000000,241.9300000,235.2200000,236.7600000,44150
MTLRP,D,20120224,000000,237.7500000,240.0000000,237.0000000,240.0000000,106410
MTLRP,D,20120227,000000,240.0000000,241.9800000,236.0000000,236.9900000,91900
MTLRP,D,20120228,000000,236.1000000,238.0000000,234.0000000,234.5000000,52840
MTLRP,D,20120229,000000,237.7900000,237.7900000,234.1400000,235.4900000,127870
MTLRP,D,20120301,000000,235.0000000,235.9900000,232.0000000,234.7200000,59830
