<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBER,D,20010105,000000,700.0000000,714.9900000,685.0000000,700.0000000,9784
SBER,D,20010109,000000,698.8000000,711.4000000,690.0000000,706.8000000,4823
SBER,D,20010110,000000,729.9700000,729.9700000,714.9000000,722.8900000,14467
SBER,D,20010111,000000,729.5000000,750.0000000,714.0000000,737.0000000,11244
SBER,D,20010112,000000,749.0000000,756.0000000,735.2000000,748.4900000,13281
SBER,D,20010115,000000,748.0000000,756.9900000,725.0000000,753.0000000,10782
SBER,D,20010116,000000,763.0000000,778.9500000,746.0000000,751.0000000,12949
SBER,D,20010117,000000,755.0000000,775.0000000,751.0000000,774.0000000,6922
SBER,D,20010118,000000,787.0000000,794.4700000,771.0000000,774.5000000,12973
SBER,D,20010119,000000,785.3000000,837.0000000,785.3000000,802.0000000,18668
SBER,D,20010122,000000,795.0000000,800.0000000,775.1100000,781.0000000,8460
SBER,D,20010123,000000,780.0000000,793.9900000,760.0000000,785.0000000,5065
SBER,D,20010124,000000,800.0000000,826.0000000,800.0000000,815.5000000,14264
SBER,D,20010125,000000,815.0000000,825.0000000,801.0000000,805.0000000,38029
SBER,D,20010126,000000,800.0000000,816.0000000,786.0000000,794.0000000,17623
SBER,D,20010129,000000,793.0000000,795.0000000,753.0000000,758.1100000,18573
SBER,D,20010130,000000,770.0000000,770.0000000,742.0100000,759.9900000,9701
SBER,D,20010131,000000,764.0000000,764.8900000,745.0000000,755.0000000,21593
SBER,D,20010201,000000,750.0000000,758.0000000,724.0200000,730.0000000,11974
SBER,D,20010202,000000,735.0000000,735.0000000,713.0000000,722.9000000,18726
SBER,D,20010205,000000,709.0000000,738.0000000,706.0000000,738.0000000,20298
SBER,D,20010206,000000,720.0000000,750.0000000,720.0000000,739.0100000,10365
SBER,D,20010207,000000,738.0000000,746.9900000,721.0000000,725.0100000,5477
SBER,D,20010208,000000,732.0000000,740.0000000,730.0000000,733.0000000,8001
SBER,D,20010209,000000,735.0000000,735.0000000,714.2300000,718.0000000,5016
SBER,D,20010212,000000,716.0000000,724.9900000,703.0000000,715.0000000,7185
SBER,D,20010213,000000,723.0000000,736.7000000,716.0000000,735.9700000,10929
SBER,D,20010214,000000,730.0000000,736.0000000,723.0000000,728.0100000,14500
SBER,D,20010215,000000,739.9900000,787.0000000,730.0000000,783.5000000,58875
SBER,D,20010216,000000,770.0000000,789.9700000,740.0000000,745.0000000,20010
SBER,D,20010219,000000,749.0000000,757.0000000,722.0000000,730.0000000,6038
SBER,D,20010220,000000,734.0000000,738.0000000,716.0000000,716.8000000,7221
SBER,D,20010221,000000,709.0000000,713.9000000,654.0000000,670.0000000,11200
SBER,D,20010222,000000,665.9000000,692.0000000,654.0000000,675.6500000,14659
SBER,D,20010223,000000,681.6000000,685.0000000,651.0000000,661.0000000,5460
SBER,D,20010226,000000,669.8900000,694.4900000,659.9000000,689.0000000,8238
SBER,D,20010227,000000,700.0000000,714.0000000,664.0000000,671.0000000,6768
SBER,D,20010228,000000,661.0000000,678.9000000,650.0000000,674.0000000,4653
SBER,D,20010301,000000,660.0000000,696.0000000,645.0000000,690.0000000,15120
SBER,D,20010302,000000,695.0000000,718.5000000,687.0100000,704.5000000,20826
SBER,D,20010305,000000,710.9000000,748.0000000,707.1000000,745.0000000,21148
SBER,D,20010306,000000,750.5000000,800.0000000,747.0000000,790.0000000,35864
SBER,D,20010307,000000,786.0000000,839.9900000,765.0100000,825.0000000,22662
SBER,D,20010311,000000,800.0100000,813.0000000,780.0000000,803.7700000,7356
SBER,D,20010312,000000,780.0000000,799.0000000,774.0000000,780.0000000,10704
SBER,D,20010313,000000,756.0000000,787.0000000,745.0000000,786.0000000,15871
SBER,D,20010314,000000,791.0200000,832.0000000,791.0000000,827.9000000,64456
SBER,D,20010315,000000,835.0000000,915.0000000,828.4000000,912.0000000,39724
SBER,D,20010316,000000,915.0000000,1034.0000000,911.0000000,940.0000000,61125
SBER,D,20010319,000000,954.0000000,1000.0000000,930.0000000,939.9000000,28660
SBER,D,20010320,000000,968.0000000,973.9800000,935.0000000,940.0000000,31342
SBER,D,20010321,000000,928.0000000,938.9900000,910.0000000,915.0000000,11688
SBER,D,20010322,000000,890.1000000,920.0000000,890.0000000,919.7000000,7337
SBER,D,20010323,000000,916.0000000,943.0000000,915.0000000,918.0000000,8904
SBER,D,20010326,000000,927.0000000,935.9900000,906.0000000,908.0000000,5802
SBER,D,20010327,000000,917.0000000,919.9900000,875.0100000,912.0000000,2166
SBER,D,20010328,000000,915.0100000,924.8900000,900.0000000,908.0000000,5007
SBER,D,20010329,000000,895.0000000,907.0000000,889.0000000,900.0000000,14364
SBER,D,20010330,000000,900.0000000,942.0000000,900.0000000,937.9900000,13139
SBER,D,20010402,000000,945.0000000,974.7500000,929.0000000,946.5000000,49354
